ID,sapServer,usage,databaseServer,programName,activeUsersOfTheProgram,noOfTimesThePgmRunForTheMonth,executionMonth,currentRunningTimeinCPUSeconds,energyConsumptioninMWH,co2EmissioninMG
1,,PROD,,Y0GBC_ZAR0003,,1,Jan,18,,0.009
2,,PROD,,Y0GSD_0001,,1,Jan,6393,,3.1965
3,,PROD,,Y0NBC_0001,,1,Jan,34,,0.017
4,,PROD,,Y0NBC_0004,,1,Jan,12,,0.006
5,,PROD,,Y0NBC_ZAB0001,,1,Jan,2,,0.001
6,,PROD,,Y0NBC_ZAR0027,,2,Jan,605,,0.3025
7,,PROD,,Y0NBC_ZAR0028,,3,Jan,319,,0.1595
8,,PROD,,Y0NCO_0013,,1,Jan,9,,0.0045
9,,PROD,,Y0NCO_0017,,1,Jan,914,,0.457
10,,PROD,,Y0NFI_0002,,1,Jan,27,,0.0135
11,,PROD,,Y0NFI_0003,,1,Jan,9,,0.0045
12,,PROD,,Y0NFI_0006,,1,Jan,7,,0.0035
13,,PROD,,Y0NFI_0008,,1,Jan,58,,0.029
14,,PROD,,Y0NFI_0009,,1,Jan,4,,0.002
15,,PROD,,Y0NFI_0010,,1,Jan,3,,0.0015
16,,PROD,,Y0NFI_0013,,1,Jan,2775,,1.3875
17,,PROD,,Y0NFI_0014,,1,Jan,3132,,1.566
18,,PROD,,Y0NFI_0015,,1,Jan,5,,0.0025
19,,PROD,,Y0NFI_0017,,1,Jan,1,,0.0005
20,,PROD,,Y0NFI_0018,,1,Jan,1,,0.0005
21,,PROD,,Y0NFI_0020,,1,Jan,22,,0.011
22,,PROD,,Y0NFI_0022,,1,Jan,11,,0.0055
23,,PROD,,Y0NFI_0030,,1,Jan,6,,0.003
24,,PROD,,Y0NFI_0032,,1,Jan,7,,0.0035
25,,PROD,,Y0NFI_0037,,1,Jan,101,,0.0505
26,,PROD,,Y0NFI_0040,,1,Jan,1,,0.0005
27,,PROD,,Y0NFI_0043,,1,Jan,1,,0.0005
28,,PROD,,Y0NFI_0060,,1,Jan,15,,0.0075
29,,PROD,,Y0NFI_0082,,1,Jan,11,,0.0055
30,,PROD,,Y0NFI_0083,,1,Jan,26,,0.013
31,,PROD,,Y0NFI_0089,,1,Jan,23,,0.0115
32,,PROD,,Y0NFI_0095,,1,Jan,1,,0.0005
33,,PROD,,Y0NFI_0104,,1,Jan,6830,,3.415
34,,PROD,,Y0NFI_0106,,1,Jan,91856,,45.928
35,,PROD,,Y0NFI_0111,,1,Jan,1,,0.0005
36,,PROD,,Y0NFI_0120,,1,Jan,5460,,2.73
37,,PROD,,Y0NFI_0121,,1,Jan,1921,,0.9605
38,,PROD,,Y0NFI_0122,,1,Jan,3677,,1.8385
39,,PROD,,Y0NFI_0127,,1,Jan,497,,0.2485
40,,PROD,,Y0NFI_0128,,1,Jan,963,,0.4815
41,,PROD,,Y0NFI_0131,,1,Jan,3300,,1.65
42,,PROD,,Y0NFI_0133,,1,Jan,6906,,3.453
43,,PROD,,Y0NFI_0139,,1,Jan,2880,,1.44
44,,PROD,,Y0NFI_0140,,1,Jan,4,,0.002
45,,PROD,,Y0NFI_0177,,1,Jan,30685,,15.3425
46,,PROD,,Y0NFI_0178,,1,Jan,4,,0.002
47,,PROD,,Y0NFI_0206,,1,Jan,2,,0.001
48,,PROD,,Y0NFI_0209,,1,Jan,340,,0.17
49,,PROD,,Y0NFI_0220,,1,Jan,37742,,18.871
50,,PROD,,Y0NFI_0226,,1,Jan,1220,,0.61
51,,PROD,,Y0NFI_0227,,1,Jan,2350,,1.175
52,,PROD,,Y0NFI_0231,,1,Jan,7,,0.0035
53,,PROD,,Y0NFI_0234,,1,Jan,389,,0.1945
54,,PROD,,Y0NFI_0237,,1,Jan,19,,0.0095
55,,PROD,,Y0NFI_0238,,1,Jan,1,,0.0005
56,,PROD,,Y0NFI_0240,,1,Jan,3825,,1.9125
57,,PROD,,Y0NFI_02401,,1,Jan,2239,,1.1195
58,,PROD,,Y0NFI_0241,,1,Jan,13,,0.0065
59,,PROD,,Y0NFI_0242,,1,Jan,2,,0.001
60,,PROD,,Y0NFI_0243,,1,Jan,4,,0.002
61,,PROD,,Y0NFI_02431,,1,Jan,5,,0.0025
62,,PROD,,Y0NFI_0245,,1,Jan,21,,0.0105
63,,PROD,,Y0NFI_0286,,1,Jan,280,,0.14
64,,PROD,,Y0NFI_0291_COPY,,1,Jan,12,,0.006
65,,PROD,,Y0NFI_0299,,1,Jan,7,,0.0035
66,,PROD,,Y0NFI_0303,,1,Jan,13,,0.0065
67,,PROD,,Y0NFI_0304,,1,Jan,1,,0.0005
68,,PROD,,Y0NFI_0310,,1,Jan,60,,0.03
69,,PROD,,Y0NFI_0313,,1,Jan,1,,0.0005
70,,PROD,,Y0NFI_0314,,1,Jan,478,,0.239
71,,PROD,,Y0NFI_0323,,1,Jan,4478,,2.239
72,,PROD,,Y0NFI_0330,,1,Jan,41,,0.0205
73,,PROD,,Y0NFI_0331,,1,Jan,430,,0.215
74,,PROD,,Y0NFI_0332,,1,Jan,2,,0.001
75,,PROD,,Y0NFI_0336,,1,Jan,35,,0.0175
76,,PROD,,Y0NFI_ZAB0011,,10,Jan,65,,0.0325
77,,PROD,,Y0NFI_ZAB0012,,7,Jan,30,,0.015
78,,PROD,,Y0NFI_ZAB0013,,28,Jan,290,,0.145
79,,PROD,,Y0NFI_ZAN0004,,5,Jan,45,,0.0225
80,,PROD,,Y0NFI_ZAN0105,,2,Jan,215,,0.1075
81,,PROD,,Y0NFI_ZAO0003,,1,Jan,2,,0.001
82,,PROD,,Y0NFI_ZAO0011,,1,Jan,4,,0.002
83,,PROD,,Y0NFI_ZAO0021,,4,Jan,887,,0.4435
84,,PROD,,Y0NFI_ZAO0023,,3,Jan,2820,,1.41
85,,PROD,,Y0NFI_ZAO0101,,2,Jan,253,,0.1265
86,,PROD,,Y0NFI_ZAO0110,,2,Jan,5,,0.0025
87,,PROD,,Y0NFI_ZAO0116,,3,Jan,128,,0.064
88,,PROD,,Y0NFI_ZAO0206,,3,Jan,23,,0.0115
89,,PROD,,Y0NFI_ZAO0212,,1,Jan,59143,,29.5715
90,,PROD,,Y0NFI_ZAO0220,,3,Jan,3,,0.0015
91,,PROD,,Y0NFI_ZAR0001,,2,Jan,425,,0.2125
92,,PROD,,Y0NFI_ZAR0002,,1,Jan,69,,0.0345
93,,PROD,,Y0NFI_ZAR0020,,7,Jan,16752,,8.376
94,,PROD,,Y0NFI_ZAR0038,,2,Jan,1156,,0.578
95,,PROD,,Y0NFI_ZAR0040,,17,Jan,153574,,76.787
96,,PROD,,Y0NFI_ZAR0059,,2,Jan,18573,,9.2865
97,,PROD,,Y0NFI_ZAR0069,,1,Jan,156,,0.078
98,,PROD,,Y0NFI_ZAR0127,,8,Jan,412,,0.206
99,,PROD,,Y0NFI_ZAR0128,,7,Jan,352,,0.176
100,,PROD,,Y0NFI_ZAR0130,,3,Jan,155,,0.0775
101,,PROD,,Y0NFI_ZAR0212,,2,Jan,5616,,2.808
102,,PROD,,Y0NFI_ZAR0216,,1,Jan,20,,0.01
103,,PROD,,Y0NFI_ZAR0279,,1,Jan,1,,0.0005
104,,PROD,,Y0NFI_ZAR218_COPY,,2,Jan,36,,0.018
105,,PROD,,Y0NMM_0004,,1,Jan,2183,,1.0915
106,,PROD,,Y0NMM_0005,,1,Jan,398,,0.199
107,,PROD,,Y0NMM_0012,,1,Jan,317,,0.1585
108,,PROD,,Y0NMM_0014,,1,Jan,228,,0.114
109,,PROD,,Y0NMM_0015,,1,Jan,67,,0.0335
110,,PROD,,Y0NMM_0016,,1,Jan,56,,0.028
111,,PROD,,Y0NMM_0018,,1,Jan,23,,0.0115
112,,PROD,,Y0NMM_0022,,1,Jan,273,,0.1365
113,,PROD,,Y0NMM_0026,,1,Jan,98,,0.049
114,,PROD,,Y0NMM_0037,,1,Jan,76,,0.038
