sapServer,usage,databaseServer,programName,activeUsersOfTheProgram,noOfTimesThePgmRunForTheMonth,executionMonth,currentRunningTimeinCPUSeconds,energyConsumptioninMWH,co2EmissioninMG
,PROD,,Y0GBC_ZAR0003,,1,Jan,18,,
,PROD,,Y0GSD_0001,,1,Jan,6393,,
,PROD,,Y0NBC_0001,,1,Jan,34,,
,PROD,,Y0NBC_0004,,1,Jan,12,,
,PROD,,Y0NBC_ZAB0001,,1,Jan,2,,
,PROD,,Y0NBC_ZAR0027,,2,Jan,605,,
,PROD,,Y0NBC_ZAR0028,,3,Jan,319,,
,PROD,,Y0NCO_0013,,1,Jan,9,,
,PROD,,Y0NCO_0017,,1,Jan,914,,
,PROD,,Y0NFI_0002,,1,Jan,27,,
,PROD,,Y0NFI_0003,,1,Jan,9,,
,PROD,,Y0NFI_0006,,1,Jan,7,,
,PROD,,Y0NFI_0008,,1,Jan,58,,
,PROD,,Y0NFI_0009,,1,Jan,4,,
,PROD,,Y0NFI_0010,,1,Jan,3,,
,PROD,,Y0NFI_0013,,1,Jan,2775,,
,PROD,,Y0NFI_0014,,1,Jan,3132,,
,PROD,,Y0NFI_0015,,1,Jan,5,,
,PROD,,Y0NFI_0017,,1,Jan,1,,
,PROD,,Y0NFI_0018,,1,Jan,1,,
,PROD,,Y0NFI_0020,,1,Jan,22,,
,PROD,,Y0NFI_0022,,1,Jan,11,,
,PROD,,Y0NFI_0030,,1,Jan,6,,
,PROD,,Y0NFI_0032,,1,Jan,7,,
,PROD,,Y0NFI_0037,,1,Jan,101,,
,PROD,,Y0NFI_0040,,1,Jan,1,,
,PROD,,Y0NFI_0043,,1,Jan,1,,
,PROD,,Y0NFI_0060,,1,Jan,15,,
,PROD,,Y0NFI_0082,,1,Jan,11,,
,PROD,,Y0NFI_0083,,1,Jan,26,,
,PROD,,Y0NFI_0089,,1,Jan,23,,
,PROD,,Y0NFI_0095,,1,Jan,1,,
,PROD,,Y0NFI_0104,,1,Jan,6830,,
,PROD,,Y0NFI_0106,,1,Jan,91856,,
,PROD,,Y0NFI_0111,,1,Jan,1,,
,PROD,,Y0NFI_0120,,1,Jan,5460,,
,PROD,,Y0NFI_0121,,1,Jan,1921,,
,PROD,,Y0NFI_0122,,1,Jan,3677,,
,PROD,,Y0NFI_0127,,1,Jan,497,,
,PROD,,Y0NFI_0128,,1,Jan,963,,
,PROD,,Y0NFI_0131,,1,Jan,3300,,
,PROD,,Y0NFI_0133,,1,Jan,6906,,
,PROD,,Y0NFI_0139,,1,Jan,2880,,
,PROD,,Y0NFI_0140,,1,Jan,4,,
,PROD,,Y0NFI_0177,,1,Jan,30685,,
,PROD,,Y0NFI_0178,,1,Jan,4,,
,PROD,,Y0NFI_0206,,1,Jan,2,,
,PROD,,Y0NFI_0209,,1,Jan,340,,
,PROD,,Y0NFI_0220,,1,Jan,37742,,
,PROD,,Y0NFI_0226,,1,Jan,1220,,
,PROD,,Y0NFI_0227,,1,Jan,2350,,
,PROD,,Y0NFI_0231,,1,Jan,7,,
,PROD,,Y0NFI_0234,,1,Jan,389,,
,PROD,,Y0NFI_0237,,1,Jan,19,,
,PROD,,Y0NFI_0238,,1,Jan,1,,
,PROD,,Y0NFI_0240,,1,Jan,3825,,
,PROD,,Y0NFI_02401,,1,Jan,2239,,
,PROD,,Y0NFI_0241,,1,Jan,13,,
,PROD,,Y0NFI_0242,,1,Jan,2,,
,PROD,,Y0NFI_0243,,1,Jan,4,,
,PROD,,Y0NFI_02431,,1,Jan,5,,
,PROD,,Y0NFI_0245,,1,Jan,21,,
,PROD,,Y0NFI_0286,,1,Jan,280,,
,PROD,,Y0NFI_0291_COPY,,1,Jan,12,,
,PROD,,Y0NFI_0299,,1,Jan,7,,
,PROD,,Y0NFI_0303,,1,Jan,13,,
,PROD,,Y0NFI_0304,,1,Jan,1,,
,PROD,,Y0NFI_0310,,1,Jan,60,,
,PROD,,Y0NFI_0313,,1,Jan,1,,
,PROD,,Y0NFI_0314,,1,Jan,478,,
,PROD,,Y0NFI_0323,,1,Jan,4478,,
,PROD,,Y0NFI_0330,,1,Jan,41,,
,PROD,,Y0NFI_0331,,1,Jan,430,,
,PROD,,Y0NFI_0332,,1,Jan,2,,
,PROD,,Y0NFI_0336,,1,Jan,35,,
,PROD,,Y0NFI_ZAB0011,,10,Jan,65,,
